Date,Headline,Negative,Neutral,Positive,Compound,Overall Sentiment
2024-09-11,"Apple must pay Ireland €13bn in unpaid taxes, court rules",0.135,0.865,0.0,-0.1027,Negative
2024-09-11,Cabinet set to approve ban on sale of disposable vapes,0.286,0.714,0.0,-0.5574,Negative
2024-09-11,The breathtaking waste of batteries in disposable vapes,0.237,0.508,0.254,0.0516,Positive
2024-09-11,Preview: Ireland can do talking on pitch in Greece game,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Republic of Ireland v Greece: All you need to know,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.417,0.583,0.0,-0.6124,Negative
2024-09-11,Alleged attacker of Ugandan Olympian dies in hospital,0.346,0.654,0.0,-0.5719,Negative
2024-09-11,EU court upholds Google's €2.4 billion EU antitrust fine,0.0,0.816,0.184,0.2023,Positive
2024-09-11,Seanad voting rights to be extended to all graduates,0.0,1.0,0.0,0.0,Neutral
2024-09-11,What would a Trump presidency mean for international relations?,0.0,1.0,0.0,0.0,Neutral
2024-09-11,"Star Wars, Lion King actor James Earl Jones dies at 93",0.265,0.735,0.0,-0.5574,Negative
2024-09-11,George Lucas leads tributes to James Earl Jones,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Harris arrives in Pennsylvania for crucial Trump clash,0.0,1.0,0.0,0.0,Neutral
2024-09-11,3 things you can clean in the home with a lemon,0.0,0.787,0.213,0.4019,Positive
2024-09-11,What it says in the papers,0.0,1.0,0.0,0.0,Neutral
2024-09-11,"Mawdsley wins in Switzerland, McCann sets new PB",0.0,0.654,0.346,0.5719,Positive
2024-09-11,"Inner City Festival of Community Arts takes place in Dublin, 1979",0.0,0.758,0.242,0.4939,Positive
2024-09-11,Australia plans social media minimum age limit,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Vaping 'the revenge of the tobacco industry' - Harris,0.298,0.702,0.0,-0.5267,Negative
2024-09-11,Vaping 'the revenge of the tobacco industry' - Harris,0.298,0.702,0.0,-0.5267,Negative
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,0.417,0.583,0.0,-0.6124,Negative
2024-09-11,Work to identify historic shipwrecks on Portmarnock beach,0.0,1.0,0.0,0.0,Neutral
2024-09-11,"Princess of Wales finishes chemotherapy, hopes to 'stay cancer free'",0.251,0.4,0.349,0.1779,Positive
2024-09-11,'He came at me with the knife' - Gardaí awarded medals for bravery,0.0,0.651,0.349,0.7096,Positive
2024-09-11,How old will you be before you own a home of your own?,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Scotland's 'Sphinx' snow patch is vanishing,0.0,1.0,0.0,0.0,Neutral
2024-09-11,Fair City celebrates 35 years with explosive promo,0.0,0.5,0.5,0.7184,Positive
